Date,All Grades All Formulations Retail Gasoline Prices,Regular All Formulations Retail Gasoline Price,Midgrade All Formulations Retail Gasoline Prices,Premium All Formulations Retail Gasoline Prices,No 2 Diesel Retail Prices
1/7/2019,2.329,2.237,2.662,2.906,3.013
1/14/2019,2.338,2.247,2.66,2.907,2.976
1/21/2019,2.34,2.251,2.661,2.902,2.965
1/28/2019,2.343,2.256,2.65,2.899,2.965
2/4/2019,2.341,2.254,2.644,2.895,2.966
2/11/2019,2.361,2.276,2.657,2.912,2.966
2/18/2019,2.4,2.317,2.688,2.94,3.006
2/25/2019,2.471,2.39,2.739,2.998,3.048
3/4/2019,2.502,2.422,2.768,3.02,3.076
3/11/2019,2.549,2.471,2.807,3.059,3.079
3/18/2019,2.625,2.548,2.879,3.135,3.07
3/25/2019,2.701,2.623,2.96,3.212,3.08
4/1/2019,2.77,2.691,3.034,3.286,3.078
4/8/2019,2.826,2.745,3.103,3.354,3.093
4/15/2019,2.912,2.828,3.198,3.449,3.118
4/22/2019,2.926,2.841,3.221,3.474,3.147
4/29/2019,2.972,2.887,3.27,3.523,3.169
5/6/2019,2.983,2.897,3.286,3.537,3.171
5/13/2019,2.954,2.866,3.258,3.514,3.16
5/20/2019,2.939,2.852,3.245,3.499,3.163
5/27/2019,2.909,2.822,3.212,3.471,3.151
6/3/2019,2.893,2.807,3.194,3.447,3.136
6/10/2019,2.821,2.732,3.134,3.383,3.105
6/17/2019,2.759,2.67,3.079,3.326,3.07
6/24/2019,2.741,2.654,3.051,3.3,3.043
7/1/2019,2.798,2.713,3.095,3.343,3.042
7/8/2019,2.827,2.743,3.117,3.366,3.055
7/15/2019,2.86,2.779,3.137,3.392,3.051
7/22/2019,2.833,2.75,3.116,3.368,3.044
7/29/2019,2.798,2.715,3.084,3.339,3.034
8/5/2019,2.772,2.688,3.062,3.317,3.032
8/12/2019,2.71,2.624,3.01,3.266,3.011
8/19/2019,2.684,2.598,2.982,3.24,2.994
8/26/2019,2.661,2.574,2.965,3.219,2.983
9/2/2019,2.651,2.563,2.96,3.215,2.976
9/9/2019,2.638,2.55,2.95,3.202,2.971
9/16/2019,2.64,2.552,2.95,3.203,2.987
9/23/2019,2.741,2.654,3.048,3.296,3.081
9/30/2019,2.737,2.642,3.082,3.341,3.066
10/7/2019,2.742,2.645,3.097,3.356,3.047
10/14/2019,2.727,2.629,3.085,3.345,3.051
10/21/2019,2.735,2.638,3.089,3.34,3.05
10/28/2019,2.692,2.596,3.046,3.298,3.064
11/4/2019,2.702,2.605,3.064,3.313,3.062
11/11/2019,2.711,2.615,3.067,3.321,3.073
11/18/2019,2.688,2.592,3.036,3.291,3.074
11/25/2019,2.672,2.579,3.015,3.264,3.066
12/2/2019,2.667,2.575,2.999,3.249,3.07
12/9/2019,2.652,2.561,2.981,3.23,3.049
12/16/2019,2.627,2.536,2.955,3.204,3.046
12/23/2019,2.621,2.532,2.943,3.191,3.041
12/30/2019,2.658,2.571,2.968,3.209,3.069
1/6/2020,2.665,2.578,2.973,3.214,3.079
1/13/2020,2.657,2.57,2.964,3.209,3.064
1/20/2020,2.625,2.537,2.94,3.183,3.037
1/27/2020,2.595,2.506,2.911,3.163,3.01
2/3/2020,2.546,2.455,2.872,3.125,2.956
2/10/2020,2.511,2.419,2.842,3.095,2.91
2/17/2020,2.518,2.428,2.841,3.091,2.89
2/24/2020,2.555,2.466,2.868,3.122,2.882
3/2/2020,2.514,2.423,2.838,3.093,2.851
3/9/2020,2.468,2.375,2.798,3.054,2.814
3/16/2020,2.343,2.248,2.689,2.941,2.733
3/23/2020,2.217,2.12,2.58,2.817,2.659
3/30/2020,2.103,2.005,2.473,2.716,2.586
4/6/2020,2.022,1.924,2.392,2.635,2.548
4/13/2020,1.951,1.853,2.316,2.562,2.507
4/20/2020,1.91,1.812,2.275,2.519,2.48
4/27/2020,1.87,1.773,2.226,2.478,2.437
5/4/2020,1.883,1.789,2.221,2.479,2.399
5/11/2020,1.941,1.851,2.257,2.519,2.394
5/18/2020,1.969,1.878,2.286,2.553,2.386
5/25/2020,2.049,1.96,2.363,2.618,2.39
6/1/2020,2.064,1.974,2.38,2.638,2.386
6/8/2020,2.123,2.036,2.434,2.686,2.396
6/15/2020,2.185,2.098,2.495,2.745,2.403
6/22/2020,2.216,2.129,2.521,2.773,2.425
6/29/2020,2.26,2.174,2.563,2.812,2.43
7/6/2020,2.265,2.177,2.571,2.821,2.437
7/13/2020,2.283,2.195,2.589,2.842,2.438
7/20/2020,2.275,2.186,2.584,2.836,2.433
7/27/2020,2.265,2.175,2.582,2.838,2.427
8/3/2020,2.266,2.176,2.587,2.834,2.424
8/10/2020,2.256,2.166,2.578,2.826,2.428
8/17/2020,2.256,2.166,2.577,2.829,2.427
8/24/2020,2.272,2.182,2.595,2.842,2.426
8/31/2020,2.311,2.222,2.629,2.877,2.441
9/7/2020,2.302,2.211,2.624,2.872,2.435
9/14/2020,2.274,2.183,2.6,2.851,2.422
9/21/2020,2.259,2.168,2.582,2.836,2.404
9/28/2020,2.259,2.169,2.583,2.831,2.394
10/5/2020,2.262,2.172,2.583,2.833,2.387
10/12/2020,2.257,2.167,2.579,2.829,2.395
10/19/2020,2.24,2.15,2.565,2.815,2.388
10/26/2020,2.234,2.143,2.559,2.81,2.385
11/2/2020,2.204,2.112,2.533,2.786,2.372
11/9/2020,2.188,2.096,2.517,2.771,2.383
11/16/2020,2.202,2.111,2.532,2.783,2.441
11/23/2020,2.194,2.102,2.525,2.779,2.462
11/30/2020,2.211,2.12,2.54,2.792,2.502
12/7/2020,2.246,2.156,2.567,2.82,2.526
12/14/2020,2.247,2.158,2.565,2.821,2.559
12/21/2020,2.311,2.224,2.618,2.871,2.619
12/28/2020,2.33,2.243,2.634,2.889,2.635
1/4/2021,2.336,2.249,2.639,2.895,2.64
1/11/2021,2.403,2.317,2.702,2.959,2.67
1/18/2021,2.464,2.379,2.759,3.014,2.696
1/25/2021,2.478,2.392,2.776,3.033,2.716
