Weekly_Date,XOM,CVX
6/20/2011,78.65,98.88
6/13/2011,80,100.04
6/6/2011,80.93,100.9
5/23/2011,80.22,101.13
5/16/2011,80.22,102.03
5/9/2011,83.01,103.25
5/2/2011,88.1,109.48
4/25/2011,86.29,107.37
4/18/2011,83.11,104.95
4/11/2011,85.95,109.74
4/4/2011,84.26,108.52
3/28/2011,83.86,106.4
3/21/2011,81.87,103.86
3/14/2011,81.67,99.16
3/7/2011,85.84,104.12
2/28/2011,85.87,102.28
2/14/2011,82.07,95.5
2/7/2011,83.45,97.28
1/31/2011,79.92,93.85
1/24/2011,78.85,93.89
1/10/2011,75.13,90.95
1/3/2011,73.72,91.66
12/27/2010,72.81,90.49
12/20/2010,72.24,88.96
12/13/2010,72.41,87.72
12/6/2010,71.2,84.79
11/29/2010,68.86,81.3
11/22/2010,70.1,83.47
11/15/2010,71.01,85.74
11/8/2010,69.49,84.62
11/1/2010,66.72,83.15
10/25/2010,66.68,85.13
10/18/2010,65.19,83.48
10/11/2010,64.36,83.85
10/4/2010,62.52,81.89
9/27/2010,61.99,80.3
9/20/2010,61.04,78.54
9/13/2010,61.39,79.37
8/30/2010,59.56,74.63
8/23/2010,58.97,75.34
8/16/2010,59.6,77.11
8/9/2010,62.56,79.3
8/2/2010,60.64,77.62
7/26/2010,59.7,73.82
7/19/2010,58.33,71.84
7/12/2010,58.29,71.53
6/28/2010,59.31,70.56
6/21/2010,64.1,76.81
6/14/2010,62.06,74.23
6/7/2010,59.98,71.66
5/24/2010,60.74,74.22
5/17/2010,63.74,77.39
5/10/2010,65.42,79.37
5/3/2010,68.11,81.96
4/26/2010,69.03,82.52
4/19/2010,67.75,80.25
4/12/2010,68.8,79.5
4/5/2010,67.84,76.97
3/29/2010,66.66,74.61
3/22/2010,66.49,74.17
3/15/2010,66.67,73.51
3/8/2010,66.77,74.49
3/1/2010,65.36,72.63
2/22/2010,66.1,74.17
2/8/2010,64.91,71.24
2/1/2010,65.77,72.7
1/25/2010,66.55,75.15
1/11/2010,69.94,80.17
1/4/2010,68.72,78.2
12/28/2009,69.08,77.78
12/21/2009,68.47,77.6
12/14/2009,70.8,78.45
12/7/2009,73.95,77.92
11/30/2009,74.49,77.85
11/23/2009,75.44,78.31
11/16/2009,73.65,78.11
11/9/2009,72.96,78.29
11/2/2009,72.05,76.86
10/26/2009,73.81,76.96
10/19/2009,73.15,76.94
10/12/2009,69.51,73.19
10/5/2009,66.79,68.27
9/28/2009,68.81,70.79
9/21/2009,69.15,71.59
9/14/2009,69.11,69.94
8/31/2009,69.45,69.99
8/24/2009,70.04,70.1
8/17/2009,67.37,66.65
8/10/2009,69.12,69.28
8/3/2009,70.96,70.26
7/27/2009,72.41,68.62
7/20/2009,69.11,65.69
7/13/2009,65.17,61.46
7/6/2009,67.67,63.69
6/29/2009,69.45,66.41
6/22/2009,70.1,67.08
6/15/2009,72.64,71.96
6/8/2009,72.48,69
6/1/2009,70.46,67.8
5/18/2009,69.74,66.64
5/11/2009,69.48,69.29
5/4/2009,68.5,67.34
4/27/2009,65.29,65.32
4/20/2009,66.02,65.3
4/13/2009,68.64,67.45
4/6/2009,69.66,69.74
3/30/2009,68.54,67.54
3/23/2009,66.99,65.91
3/16/2009,67.04,61.66
3/9/2009,62.88,57.63
3/2/2009,67,59.37
2/23/2009,72.25,65.99
2/9/2009,80.39,74.41
2/2/2009,76.06,69.52
1/26/2009,78.67,71.43
1/12/2009,76.54,72.23
1/5/2009,81.27,76.16
12/29/2008,78.28,71.25
12/22/2008,75.21,71.6
12/15/2008,81.32,80.19
12/8/2008,78.59,76.03
12/1/2008,77.89,76.5
11/24/2008,76.82,71.66
11/17/2008,73.5,72.1
11/10/2008,75.1,75.22
11/3/2008,73.45,73.44
10/27/2008,67.58,62.58
10/20/2008,70.37,64.1
10/13/2008,64.9,60.17
10/6/2008,75.65,77.64
9/29/2008,78.92,85.02
9/22/2008,80.2,88.22
9/15/2008,74.94,81.16
9/8/2008,76.76,81.34
8/25/2008,80.27,88.58
8/18/2008,77.46,84.69
8/11/2008,78.52,84.6
8/4/2008,79.63,84.06
7/28/2008,81.87,82.86
7/21/2008,81.84,86.57
7/14/2008,86,92.61
7/7/2008,87.86,98.11
6/30/2008,86.81,98.3
6/23/2008,85.1,96.03
6/16/2008,88.49,99.51
6/9/2008,87.61,99.95
6/2/2008,88.09,98.82
5/19/2008,92.91,100.62
5/12/2008,88.43,97.2
5/5/2008,89.7,95.33
4/28/2008,92.57,92.8
4/21/2008,94,93.15
4/14/2008,88.74,88.8
4/7/2008,89.32,88.65
3/31/2008,85.69,84.95
3/24/2008,85.17,83.38
3/17/2008,83.88,83.47
3/10/2008,82.75,85.55
3/3/2008,86.83,86.38
2/25/2008,87.17,85.54
2/11/2008,81.85,80.22
2/4/2008,86.04,82.51
1/28/2008,83.5,81.13
1/14/2008,90.84,91.22
1/7/2008,92.5,93.74
12/31/2007,94.61,94.37
12/24/2007,93.51,93.63
12/17/2007,90.65,91.7
12/10/2007,91.75,91.23
12/3/2007,88.97,87.1
11/26/2007,88.12,86.85
11/19/2007,84.63,85.98
11/12/2007,86.24,87
11/5/2007,87.02,87.47
10/29/2007,92.36,91.86
10/22/2007,91.17,88.16
10/15/2007,94.15,92.27
10/8/2007,90.6,91.55
10/1/2007,92.45,93.3
9/24/2007,92.08,95
9/17/2007,88.5,90.01
9/10/2007,85.67,87.56
8/27/2007,85.11,86.63
8/20/2007,83.85,84
8/13/2007,85.24,84.1
8/6/2007,81.95,81.19
7/30/2007,86,85.85
7/23/2007,91.93,92.17
7/16/2007,89.33,93.5
7/9/2007,86.53,87.55
7/2/2007,84.5,84.7
6/25/2007,82.4,81.56
6/18/2007,86.09,83.27
6/11/2007,82.68,80.66
6/4/2007,83.96,82.2
5/21/2007,83.42,83.11
5/14/2007,81.21,80
5/7/2007,80.5,78.63
4/30/2007,80.3,78.09
4/23/2007,79.5,78.06
4/16/2007,77.64,77.25
4/9/2007,76.77,75.32
4/2/2007,75.35,74.05
3/26/2007,75.44,74.14
3/19/2007,70.12,68.58
3/12/2007,70.8,68.47
3/5/2007,69.35,66.2
2/26/2007,75.52,71.42
2/12/2007,74.93,73.1
2/5/2007,75.65,74.05
1/29/2007,73.65,71.51
1/22/2007,73.65,72.51
1/8/2007,73.88,71.06
12/18/2006,77.26,75.1
12/11/2006,75.25,72.83
12/4/2006,77.2,73.11
11/27/2006,72.29,69.29
11/20/2006,72.55,68.84
11/13/2006,74.1,69.54
11/6/2006,72.16,69.05
10/30/2006,71.15,67.21
10/23/2006,68.85,64.94
10/16/2006,68.45,64.41
10/9/2006,67.76,64.02
10/2/2006,67.29,64.9
9/25/2006,64.6,61.46
9/18/2006,64.9,62
9/11/2006,66.36,63.63
8/28/2006,70.05,66.31
8/21/2006,69.3,67.42
8/14/2006,69.54,67.5
8/7/2006,69,65.92
7/31/2006,67.43,65.7
7/24/2006,64.35,64.65
7/17/2006,64.5,65.71
7/10/2006,63,63.6
7/3/2006,61.8,62.27
6/26/2006,58.1,58.72
6/19/2006,58.77,58.72
6/12/2006,59.05,57.88
6/5/2006,62.1,61.26
5/22/2006,59.95,58
5/15/2006,61.51,60.41
5/8/2006,63.6,62
5/1/2006,63.4,61.62
4/24/2006,64.76,61.57
4/17/2006,61.94,59.18
4/10/2006,61.9,59.14
4/3/2006,61.36,58.35
3/27/2006,61.11,57.85
3/20/2006,60.77,57
3/13/2006,59.68,54.53
3/6/2006,60.95,56.75
2/27/2006,60.2,57.65
2/13/2006,59.43,56.63
2/6/2006,61.7,58
1/30/2006,62.88,60.85
1/23/2006,60.53,61.09
1/9/2006,59.8,59.49
12/19/2005,58.22,57.69
12/12/2005,58.81,59.16
12/5/2005,59.38,59.47
11/28/2005,59.55,58.38
11/21/2005,58.51,58.26
11/14/2005,56.82,56.95
11/7/2005,57.8,58.01
10/31/2005,57.03,57.56
10/24/2005,55.31,56.31
10/17/2005,59.05,59.99
10/10/2005,59.6,60.95
10/3/2005,63.55,65.25
9/26/2005,63.7,63.11
9/19/2005,64,63.6
9/12/2005,62.85,63.81
8/29/2005,59.24,59.79
8/22/2005,59.54,60.4
8/15/2005,60.95,62.03
8/8/2005,58.65,60.75
8/1/2005,59.23,58.11
7/25/2005,59.95,57.85
7/18/2005,58.02,56.48
7/11/2005,59.39,57.36
6/27/2005,58.33,56.87
6/20/2005,61.1,59.13
6/13/2005,58.25,56.3
6/6/2005,57.34,55.7
5/23/2005,54.38,52.1
5/16/2005,53.5,51.28
5/9/2005,57.75,53.2
5/2/2005,57,51.95
4/25/2005,59.6,54.35
4/18/2005,55.45,52.25
4/11/2005,59.99,56.7
4/4/2005,60.95,58.2
3/28/2005,59.04,58.32
3/21/2005,62.65,60.6
3/14/2005,61.06,58.48
3/7/2005,63.58,61.55
2/28/2005,63.26,62.23
2/14/2005,56.25,57.76
2/7/2005,55.12,56.75
1/31/2005,51.35,53.73
1/24/2005,50.94,52.3
1/10/2005,49.86,51.24
1/3/2005,51.02,52.46
12/27/2004,51.8,52.68
12/20/2004,50.05,51.94
12/13/2004,50.45,52.8
12/6/2004,50.28,52.65
11/29/2004,51.68,55
11/22/2004,50.38,54.1
11/15/2004,50.13,54.05
11/8/2004,50.35,54.5
11/1/2004,49.4,53.06
10/25/2004,48.6,53.45
10/18/2004,48.8,53.35
10/11/2004,50,55.41
10/4/2004,48.75,53.72
9/27/2004,47.65,53.03
9/20/2004,48.38,52
9/13/2004,47.53,50.85
8/30/2004,45.35,47.99
8/23/2004,45.45,47.08
8/16/2004,45.02,47.8
8/9/2004,45.24,47.03
8/2/2004,46.29,47.83
7/26/2004,45.27,46.95
7/19/2004,45.8,47.63
7/12/2004,45.25,46.95
6/28/2004,44.5,46.82
6/21/2004,44.89,46.67
6/14/2004,43.99,45.05
6/7/2004,44,45.3
5/24/2004,42.66,44.95
5/17/2004,43.3,46.02
5/10/2004,42.63,45.25
5/3/2004,42.9,45.8
4/26/2004,43.25,45.98
4/19/2004,43.85,45.87
4/12/2004,42.7,45.02
4/5/2004,41.97,44.08
3/29/2004,40.87,42.83
3/22/2004,41.25,43.67
3/15/2004,41.78,44.23
3/8/2004,42.5,45.17
3/1/2004,42.58,44.38
2/23/2004,42.23,43.42
2/9/2004,40.31,42.74
2/2/2004,41.26,43.16
1/26/2004,41.05,43.42
1/12/2004,40.7,42.66
1/5/2004,41.1,43.27
12/29/2003,40.1,42.15
12/22/2003,39.35,41.61
12/15/2003,37.91,40.13
12/8/2003,36.9,38.99
12/1/2003,36.5,38.31
11/24/2003,35.48,36.95
11/17/2003,35.6,37.13
11/10/2003,35.56,37.29
11/3/2003,36.92,37.27
10/27/2003,37.81,36.56
10/20/2003,38.66,36.8
10/13/2003,38.37,37.08
10/6/2003,37.86,36.85
9/29/2003,36.78,35.78
9/22/2003,36.65,36
9/15/2003,37.7,36.28
9/8/2003,38.1,36.5
8/25/2003,36.35,36
8/18/2003,36.86,36.52
8/11/2003,36.5,36.52
8/4/2003,35.5,35.51
7/28/2003,35.7,36.3
7/21/2003,35.8,36.35
7/14/2003,35.62,36.6
7/7/2003,36.1,36.12
6/30/2003,36.43,36.17
6/23/2003,36.83,36.77
6/16/2003,37.93,37.27
6/9/2003,37.26,36.92
6/2/2003,36.53,35.75
5/19/2003,35.17,33.42
5/12/2003,35.37,33.8
5/5/2003,36.15,33
4/28/2003,34.88,31.71
4/21/2003,35.1,32.22
4/14/2003,34.26,31.79
4/7/2003,35.98,32.88
3/31/2003,35.45,32.4
3/24/2003,35.95,32.77
3/17/2003,34.45,31.8
3/10/2003,34.79,32.6
3/3/2003,34.39,32.27
2/24/2003,33.93,32.09
2/10/2003,33.55,31.93
2/3/2003,34.16,32.2
1/27/2003,32.5,31.73
1/13/2003,35.19,34.39
1/6/2003,35.45,34.17
12/30/2002,34.88,33.15
12/23/2002,36.05,33.48
12/16/2002,35.4,34.02
12/9/2002,35.15,34.19
12/2/2002,35.15,33.6
11/25/2002,34.1,33.35
11/18/2002,35.01,33.83
11/11/2002,34.65,33.62
11/4/2002,34.5,34.75
10/28/2002,34.86,36.65
10/21/2002,35.75,37.3
10/14/2002,34.5,35.99
10/7/2002,33,35.9
9/30/2002,32.82,35.48
9/23/2002,32.62,35.02
9/16/2002,33.83,36.5
9/9/2002,34.25,37.3
8/26/2002,36.2,39.02
8/19/2002,36.55,38.21
8/12/2002,35.27,37.38
8/5/2002,33.65,35.4
7/29/2002,35.9,36
7/22/2002,32.4,36.85
7/15/2002,36.1,41.08
7/8/2002,40.35,43.8
7/1/2002,40.77,44.25
6/24/2002,39.25,44.08
6/17/2002,39.45,43.75
6/10/2002,39.42,43.55
6/3/2002,40,43.98
5/20/2002,39.95,44.27
5/13/2002,38.82,43.62
5/6/2002,40.12,44.45
4/29/2002,40,42.51
4/22/2002,42.45,43.83
4/15/2002,42.1,42.7
4/8/2002,43.35,43.92
4/1/2002,44.2,44.98
3/25/2002,43.22,44.55
3/18/2002,43.75,45.09
3/11/2002,43.25,44.35
3/4/2002,42.15,42.76
2/25/2002,40.85,41.75
2/11/2002,38.29,40.52
2/4/2002,39.1,42.42
1/28/2002,39.45,44.59
1/14/2002,38.6,43.71
1/7/2002,39.75,44.72
12/31/2001,39.88,45
12/24/2001,38.85,44.3
12/17/2001,36.8,42.12
12/10/2001,38.07,43.45
12/3/2001,37.4,42.51
11/26/2001,38.05,42.58
11/19/2001,37.4,41.73
11/12/2001,39.4,44.45
11/5/2001,40,43.98
10/29/2001,40.63,44.6
10/22/2001,40.49,43.45
10/15/2001,41.95,45.25
10/8/2001,40.39,44.23
10/1/2001,39.25,41.92
9/24/2001,36,42.01
9/17/2001,41.24,46.25
9/10/2001,40.7,46.2
8/27/2001,41.7,46.55
8/20/2001,40.42,46.02
8/13/2001,41.4,45.9
8/6/2001,41.26,45.23
7/30/2001,42.4,45.7
7/23/2001,43.5,44.55
7/16/2001,43.08,44.75
7/9/2001,43.52,45.5
7/2/2001,44.12,45.24
6/25/2001,44.01,47.48
6/18/2001,44.61,48.34
6/11/2001,44.75,48.5
6/4/2001,44.9,48.48
5/21/2001,45.23,49
5/14/2001,44.1,47.01
5/7/2001,43.77,46.99
4/30/2001,44.45,48.74
4/23/2001,42.98,46.95
4/16/2001,41.06,46
4/9/2001,41.05,44.88
4/2/2001,40.5,43.9
3/26/2001,38.99,43.9
3/19/2001,40.7,44.05
3/12/2001,42.99,46.37
3/5/2001,41.48,44.38
2/26/2001,41.42,42
2/12/2001,42.93,43
2/5/2001,41.62,41.4
1/29/2001,40.02,40.81
1/22/2001,39.88,39.38
1/8/2001,41.75,40.75
12/18/2000,42.12,39.44
12/11/2000,44.28,40.69
12/4/2000,44.41,41.19
11/27/2000,46.75,42.56
11/20/2000,45.28,42.16
11/13/2000,44.81,42.53
11/6/2000,43.88,40.47
10/30/2000,43.78,39.69
10/23/2000,44.19,41.75
10/16/2000,45.25,40
10/9/2000,44.72,42.41
10/2/2000,44.69,43.09
9/25/2000,42.94,41.5
9/18/2000,44.56,45.44
9/11/2000,41.75,43.34
8/28/2000,41.34,43.06
8/21/2000,41.5,43.09
8/14/2000,41.09,41.62
8/7/2000,40.44,39.84
7/31/2000,40.03,40
7/24/2000,38.5,39.34
7/17/2000,39.97,42
7/10/2000,39.25,42.03
7/3/2000,39.41,42.44
6/26/2000,41.62,44.84
6/19/2000,41.97,46.66
6/12/2000,39.94,46.41
6/5/2000,39.5,45.38
5/22/2000,41.19,46.91
5/15/2000,40.97,46.91
5/8/2000,39.94,45.53
5/1/2000,39.16,42.75
4/24/2000,39.31,42.66
4/17/2000,39.31,42.5
4/10/2000,39.5,42.72
4/3/2000,38.88,46.31
3/27/2000,38.62,42.09
3/20/2000,38.09,41.78
3/13/2000,38.25,40.47
3/6/2000,37,37.22
2/28/2000,35.5,35.53
2/14/2000,37.25,37.09
2/7/2000,39.75,39.56
1/31/2000,39.31,41.03
1/24/2000,42.72,44.75
1/10/2000,42.09,45.03
1/3/2000,39.75,42.94
